id;tipo;produto;ano;Total
17;DERIVADOS;Espumante moscatel;2015;110100
18;DERIVADOS;Base espumante;2015;0
19;DERIVADOS;Base espumante moscatel;2015;1607727
20;DERIVADOS;Base Champenoise champanha;2015;605001
21;DERIVADOS;Base Charmat champanha;2015;1466259
22;DERIVADOS;Bebida de uva;2015;922
23;DERIVADOS;Polpa de uva;2015;2371140
24;DERIVADOS;Mosto simples;2015;100911592
25;DERIVADOS;Mosto concentrado;2015;0
26;DERIVADOS;Mosto de uva com bagaço;2015;0
27;DERIVADOS;Mosto dessulfitado;2015;0
28;DERIVADOS;Mistelas;2015;0
29;DERIVADOS;Néctar de uva;2015;1000
30;DERIVADOS;Licorosos;2015;0
31;DERIVADOS;Compostos;2015;0
32;DERIVADOS;Jeropiga;2015;0
33;DERIVADOS;Filtrado;2015;0
34;DERIVADOS;Frisante;2015;0
35;DERIVADOS;Vinho leve;2015;0
36;DERIVADOS;Vinho licoroso;2015;56000
37;DERIVADOS;Brandy;2015;0
38;DERIVADOS;Destilado;2015;0
39;DERIVADOS;Bagaceira;2015;1350
40;DERIVADOS;Licor de bagaceira;2015;0
41;DERIVADOS;Vinagre;2015;25800
42;DERIVADOS;Borra líquida;2015;48833
43;DERIVADOS;Borra seca;2015;120230
44;DERIVADOS;Vinho Composto;2015;0
45;DERIVADOS;Pisco;2015;0
46;DERIVADOS;Vinho orgânico;2015;0
47;DERIVADOS;Espumante orgânico;2015;0
48;DERIVADOS;Destilado alcoólico simples de bagaceira ;2015;0
49;DERIVADOS;Vinho acidificado ;2015;0
50;DERIVADOS;Mosto parcialmente fermentado ;2015;0
51;DERIVADOS;Outros derivados;2015;0
2;VINHO DE MESA;Tinto;2016;75279191
3;VINHO DE MESA;Branco;2016;10727099
4;VINHO DE MESA;Rosado;2016;312725
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2016;8774847
7;VINHO FINO DE MESA (VINÍFERA);Branco;2016;8705066
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2016;590713
10;SUCO;Suco de uva integral;2016;31117869
11;SUCO;Suco de uva concentrado;2016;11092520
12;SUCO;Suco de uva adoçado;2016;0
13;SUCO;Suco de uva orgânico;2016;0
14;SUCO;Suco de uva reconstituído;2016;0
16;DERIVADOS;Espumante;2016;1500
17;DERIVADOS;Espumante moscatel;2016;100000
